ID,Name,Mg,Al,Zn,Y,Zr,Ca,Mn,Li,Sn,Nd,Gd,La,Si,Sm,Ce,Er,Cu,Dy,Sr,Sc,Co,Yb,Te,Bi,Sb,Ho,Be,Rm,¦ÄRm,W,W,I2,¦ÄI2,Rc,¦ÄRc,ab XP,¦Äab XP,AW,¦ÄAW,AN,¦ÄAN,Tb,¦ÄTb,Eea,¦ÄEea,I1,¦ÄI1,XP,¦ÄXP,Hf,¦ÄHf,Cm,¦ÄCm,fp,fd,VEC,¦ÄVEC,K,¦ÄK,Tm,¦ÄTm,Vm,Sf,density,Hmix,1/¦¸,XRD,µÚ¶þÏà,¾§Á£³ß´ç£¨¦Ìm£©,ÔþÖÆÖÖÀà,ÔþÖÆÎÂ¶È¡æ,ÔþÖÆ´ÎÊý,ÔþÖÆ×ÜÑ¹ÏÂÁ¿ %,¼·Ñ¹ÎÂ¶È¡æ,¼·Ñ¹±È,¼·Ñ¹ËÙ¶È,À­ÉìËÙÂÊ,Ó¦±äËÙÂÊ,¾ùÔÈ»¯ÎÂ¶È¡æ,¾ùÔÈ»¯Ê±¼äh,ÍË»ðÎÂ¶È¡æ,ÍË»ðÊ±¼äh,¹ÌÈÜÎÂ¶È¡æ,¹ÌÈÜÊ±¼äh,Ê±Ð§ÎÂ¶È¡æ,Ê±Ð§Ê±¼äh,´ã»ð¡æ,ÊÇ·ñË®´ã,Ó²¶È ¼Ó¹¤·½Ê½,Ó²¶È,YS¼Ó¹¤·½Ê½,YS²âÊÔÎÂ¶È,Çü·þÇ¿¶È£¨YS£©MPa,UST¼Ó¹¤·½Ê½,UST²âÊÔÎÂ¶È,¿¹À­Ç¿¶È£¨UTS£©MPa,Éì³¤ÂÊ¼Ó¹¤·½Ê½,Éì³¤ÂÊ²âÊÔÎÂ¶È,Éì³¤ÂÊ(Elong)%
1,Mg-8Li-5Al-5Ca,81.78,4.97,0,0,0,4.94,0,8.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158393604,0.048911751,3.518301013,0.085506513,30.00110822,0.86917288,0.137932771,0.064146745,3.509135092,0.109510292,20.53554331,0.397125645,10.0272777,0.419374405,1488.992235,0.191037548,-0.107158284,4.176763628,6.989876135,0.141895012,1.232356224,0.132309654,7.370007805,0.34251188,24.8683118,0.008567071,0.021109317,0,1.791932576,0.273634684,166.1364524,0.283644428,812.9629313,0.255040254,0.01676755,0.009065614,1479067.559,-0.879164374,0.000159149,,£Á£ì£²£Ã£á,7,,,,,290,16,,0.5,,280,12,,,,,,,,,,,¼·Ñ¹,ÊÒÎÂ,153,¼·Ñ¹,ÊÒÎÂ,222,¼·Ñ¹,ÊÒÎÂ,8.3
2,Mg-5Al-3Ca-0.7Sr-0.2Mn£¨ÖØÁ¦ÖýÔì£©,91.8,5,0,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.160105946,0.042189894,3.665134252,0.048166961,15.14325836,0.061384399,0.140836441,0.0485154,3.694063378,0.066147414,24.87159119,0.146961753,12.25666527,0.13278988,1437.138302,0.210886129,-0.352901355,0.52113163,7.537594274,0.053975391,1.317505063,0.059509273,8.791246108,0.05015316,24.86230299,0.008787378,0.024248572,0.002192758,2.050265363,0.125038665,191.7748439,0.067714978,927.9585204,0.034324143,0.017284408,0.009473749,1769856.137,-0.827126392,0.000359331,a-Mg£¬Mg17Sr2£¬Mg2Ca,,,,,,,,,,,,,,,,,,,,,,,,É°ÐÍÖýÔì,#N/A,90,É°ÐÍÖýÔì,25,250,,,
3,Mg-8Al-0.5Ca-2Sn,89.5,8,0,0,0,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158974559,0.030978168,3.699149208,0.041929165,15.30456152,0.066115553,0.139621067,0.040209168,3.709021303,0.044361366,24.94890247,0.248220388,12.25860038,0.204360894,1476.28956,0.260867665,-0.33018544,0.726182706,7.517089496,0.058769632,1.333959255,0.067711822,8.840302821,0.060751523,24.83223928,0.009563704,0.039560467,0,2.082379922,0.13918103,192.8429113,0.074357719,922.7537235,0.031727657,0.016874319,0.009580349,1816449.251,-0.76712791,0.000321018,,,,,350,2,,,,,0.2,,,,,,,,,,,,ÈÈÔþ,68.6 (HB),ÈÈÔþ,#N/A,232.5,ÈÈÔþ,#N/A,313.6,ÈÈÔþ,#N/A,12.5
4,Mg-8Al-0.5Ca-5Sn,86.5,8,0,0,0,0.5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158958585,0.03137969,3.704591702,0.044617392,15.30871039,0.066941874,0.139573523,0.040686923,3.711547359,0.046627716,25.57523416,0.382560687,12.51069741,0.315443375,1488.90614,0.272089084,-0.318660282,0.842586519,7.511901338,0.05949057,1.33876188,0.077824865,8.832837473,0.063731349,24.84581357,0.012153455,0.046426906,0,2.097374613,0.157727082,192.1192969,0.091992802,920.0416679,0.048593618,0.016870491,0.009600475,1860922.74,-0.98731937,0.000370514,,,4.14,,350,2,,,,,0.2,,,,,,,,,,,,ÈÈÔþ,73.3 (HB),ÈÈÔþ,#N/A,286.6,ÈÈÔþ,#N/A,348.8,ÈÈÔþ,#N/A,12.3
5,Mg-5Al-3Ca,91.59,5.08,0,0,0,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160046531,0.039950495,3.666106888,0.047836041,15.15045307,0.061007484,0.140752911,0.046375746,3.695362489,0.064445869,24.73899998,0.09058325,12.20344333,0.09196705,1437.388315,0.211905153,-0.352490258,0.524600862,7.538465214,0.053590133,1.317920092,0.058869332,8.790169102,0.048128947,24.8585643,0.008321589,0.02279452,0,2.04665246,0.103043072,192.2953493,0.049652292,927.3944343,0.028720705,0.017254639,0.00947835,1763246.777,-0.860849991,0.000393037,¦Á-Mg£¬Mg17Al12,,38,,,,,,,,3,,,,,,,,,,,,,,ÖýÌ¬,25,70.8,ÖýÌ¬,25,124.7,ÖýÌ¬,25,4.1
6,Mg-8Al-0.5Ca,91.5,8,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15898478,0.030718397,3.695666595,0.040077172,15.30190668,0.065580266,0.13965149,0.039899274,3.707404898,0.042839157,24.54811725,0.045072819,12.09728527,0.042095221,1468.2163,0.253048737,-0.337560307,0.649107395,7.520409361,0.058300392,1.330886089,0.060151288,8.845079844,0.058764732,24.82355318,0.007422746,0.035114558,0,2.072784926,0.125330485,193.3059471,0.060498493,924.4891486,0.011792579,0.016876769,0.009567532,1787962.688,-0.623873699,0.000288508,,,9.1,,350,2,15,,,,0.2,,,,,,,,,,,,ÔþÖÆ,63.5 (HB),ÔþÖÆ,#N/A,221.4,ÔþÖÆ,#N/A,302.3,ÔþÖÆ,#N/A,13.4
7,AE41(Mg-4Al-0.5Ce-0.5La),94.91,3.95,0,0,0,0,0,0,0,0,0,0.61,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0.159541489,0.021062021,3.6780305,0.027948765,15.16412515,0.048259412,0.140408848,0.033772204,3.729845583,0.027244582,24.63340488,0.210374119,12.12760228,0.168621804,1419.216366,0.201004749,-0.367876774,0.438974985,7.581898963,0.042565238,1.320414522,0.042965142,8.766438803,0.04507449,24.84922812,0.006385566,0.017694343,0.000987948,2.038075928,0.093902096,191.2645533,0.06078676,923.9493403,0.010912077,0.017029121,0.009488008,1777843.759,-0.342783192,0.00026088,¦Á-Mg£¬Al11(Ce£¬La)3,,,,,,,,,,,,,,,,,,,,,,ÖýÌ¬,"56.7 HV (500 g , 15 s)",ÖýÌ¬,25,114,ÖýÌ¬,25,178.8,ÖýÌ¬,25,4.3
8,AE41(Mg-4Al-0.5Ce-0.5La),94.91,3.95,0,0,0,0,0,0,0,0,0,0.61,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0.159541489,0.021062021,3.6780305,0.027948765,15.16412515,0.048259412,0.140408848,0.033772204,3.729845583,0.027244582,24.63340488,0.210374119,12.12760228,0.168621804,1419.216366,0.201004749,-0.367876774,0.438974985,7.581898963,0.042565238,1.320414522,0.042965142,8.766438803,0.04507449,24.84922812,0.006385566,0.017694343,0.000987948,2.038075928,0.093902096,191.2645533,0.06078676,923.9493403,0.010912077,0.017029121,0.009488008,1777843.759,-0.342783192,0.00026088,¦Á-Mg£¬Al11(Ce£¬La)3,,,,,,,,,,,,,,,,,,,,,,ÖýÌ¬,"56.7 HV (500 g , 15 s)",ÖýÌ¬,150,105,ÖýÌ¬,150,148.7,ÖýÌ¬,150,6.1
9,Mg-9Li-3Al-0.5RE,87.57,3.04,0,0,0,0,0,8.92,0,0,0,0.23,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0.157630286,0.02693623,3.527722221,0.074809674,30.68372892,0.861530183,0.137254197,0.046754093,3.547759454,0.091840684,19.98280205,0.412254018,9.741593033,0.42474339,1461.459283,0.162240538,-0.119012521,3.791919073,7.028024583,0.141516573,1.231862824,0.125544291,7.279121646,0.3481269,24.85307654,0.004582995,0.012746381,0.000381093,1.766348219,0.268802556,163.925179,0.287343917,802.9454551,0.255811085,0.016438414,0.009065524,1465135.545,-0.211420111,4.68E-05,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,ÖýÌ¬,ÊÒÎÂ,159.7,ÖýÌ¬,ÊÒÎÂ,6.8316
10,Mg-9Li-3Al-1.0RE,87.4,2.93,0,0,0,0,0,8.76,0,0,0,0.47,0,0,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0.157682859,0.02713098,3.528722837,0.074443045,30.49455209,0.863602247,0.137348539,0.048164871,3.549915621,0.091495416,20.10724298,0.434909927,9.79726577,0.438323163,1461.209061,0.165027519,-0.122093694,3.68371646,7.034667748,0.140927114,1.232532596,0.124787626,7.2932702,0.3459274,24.85494043,0.005044482,0.012340741,0.000741374,1.769343515,0.267341891,164.0997937,0.286678127,804.5001119,0.254509565,0.016455445,0.009065593,1473091.18,-0.196865782,4.36E-05,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,ÖýÌ¬,ÊÒÎÂ,143.437,ÖýÌ¬,ÊÒÎÂ,5.1121
