Serial number,IL,cation_smiles,anion_smiles,ion_smiles,S_smiles,rea_smiles,Time,T,P,Amount,pro_smiles,solvent,Addition structure,Ref,TON,TOF(h-1),Sec.,Cov.,Yield
IM00001,EMImCl,CC[n+]1ccn(C)c1,[Cl-],CC[n+]1ccn(C)c1.[Cl-],C=CC1CCCCC1,C=CC1CCC2OC2C1,6,80,1.07,5.2,C=CC1CCC2OC(=O)OC2C1,0,0,S-2008-1,,,1,0.051,0.051
IM00002,BMImCl,CCCC[n+]1ccn(C)c1,[Cl-],CCCC[n+]1ccn(C)c1.[Cl-],C=CC1CCCCC1,C=CC1CCC2OC2C1,6,80,1.07,5.2,C=CC1CCC2OC(=O)OC2C1,0,0,S-2008-1,,,1,0.079,0.079
IM00003,HMImCl,CCCCCC[n+]1ccn(C)c1,[Cl-],CCCCCC[n+]1ccn(C)c1.[Cl-],C=CC1CCCCC1,C=CC1CCC2OC2C1,6,80,1.07,5.2,C=CC1CCC2OC(=O)OC2C1,0,0,S-2008-1,,,1,0.093,0.093
IM00004,EMImCl,CC[n+]1ccn(C)c1,[Cl-],CC[n+]1ccn(C)c1.[Cl-],C=CC1CCCCC1,C=CC1CCC2OC2C1,6,140,1.07,5.2,C=CC1CCC2OC(=O)OC2C1,0,0,S-2008-1,,,1,0.148,0.148
IM00005,BMImCl,CCCC[n+]1ccn(C)c1,[Cl-],CCCC[n+]1ccn(C)c1.[Cl-],C=CC1CCCCC1,C=CC1CCC2OC2C1,6,140,1.07,5.2,C=CC1CCC2OC(=O)OC2C1,0,0,S-2008-1,,,1,0.256,0.256
IM00006,HMImCl,CCCCCC[n+]1ccn(C)c1,[Cl-],CCCCCC[n+]1ccn(C)c1.[Cl-],C=CC1CCCCC1,C=CC1CCC2OC2C1,6,140,1.07,5.2,C=CC1CCC2OC(=O)OC2C1,0,0,S-2008-1,,,1,0.403,0.403
IM00007,BMImBF4,CCCC[n+]1ccn(C)c1,F[B-](F)(F)F,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,C=CC1CCCCC1,C=CC1CCC2OC2C1,6,80,1.07,5.2,C=CC1CCC2OC(=O)OC2C1,0,0,S-2008-1,,,1,0.067,0.067
IM00008,BMImPF6,CCCC[n+]1ccn(C)c1,F[P-](F)(F)(F)(F)F,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,C=CC1CCCCC1,C=CC1CCC2OC2C1,6,80,1.07,5.2,C=CC1CCC2OC(=O)OC2C1,0,0,S-2008-1,,,1,0.033,0.033
IM00009,HMImCl,CCCCCC[n+]1ccn(C)c1,[Cl-],CCCCCC[n+]1ccn(C)c1.[Cl-],C=CC1CCCCC1,C=CC1CCC2OC2C1,6,140,1.07,2.6,C=CC1CCC2OC(=O)OC2C1,0,0,S-2008-1,,,0.975308642,0.243,0.237
IM00010,EMImCl,CC[n+]1ccn(C)c1,[Cl-],CC[n+]1ccn(C)c1.[Cl-],C=CC1CCCCC1,C=CC1CCC2OC2C1,6,140,1.07,2.6,C=CC1CCC2OC(=O)OC2C1,0,0,S-2008-1,,,1,0.095,0.095
