文献序号,DOI,收集,审核,ID,聚醇smiles,聚醇smiles,聚醇分子量（g/mol）,二异氰酸酯smiles,扩链剂1smiles,扩链剂1smilesappend,扩链剂2smiles,扩链剂2smilesappend,prepolymer,polymer-unit,聚醇投料摩尔比,异氰酸酯投料摩尔比,扩链剂1投料摩尔比,扩链剂2投料摩尔比
1.00 ,10.1016/j.polymer.2022.125513,齐新科,,SPU00001,PPG,[Re]C(COC(C)COC(COC(COC(COC(COC(COC(COC(COC(C)COC(C)COC(COC(COC(COC(COC(COC(COC(C[Re])C)C)C)C)C)C)C)C)C)C)C)C)C)C)C,1000,CC1(C)CC(C)(CN=C=O)CC(N=C=O)C1,O=C1N=C([N])NC(C)=C1CC[O],O=C1N=C(N)NC(C)=C1CCO,O=C1N=C([N])NC(C)=C1CC[O],O=C1N=C(N)NC(C)=C1CCO,COC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC2(C)CC(NC(=O)OC)CC(C)(C)C2)C1,COC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC2(C)CC(NC(=O)OCCc3c(C)[nH]c(NC(=O)NC4CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC5(C)CC(NC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NC6CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC7(C)CC(NC(=O)Nc8nc(=O)c(CCOC(=O)NC9CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC%10(C)CC(NC(=O)OC)CC(C)(C)C%10)C9)c(C)[nH]8)CC(C)(C)C7)C6)CC(C)(C)C5)C4)nc3=O)CC(C)(C)C2)C1,0.25,0.5,0.2500 ,0.0000 
1.00 ,10.1016/j.polymer.2022.125513,齐新科,,SPU00002,PPG,[Re]C(COC(C)COC(COC(COC(COC(COC(COC(COC(COC(C)COC(C)COC(COC(COC(COC(COC(COC(COC(C[Re])C)C)C)C)C)C)C)C)C)C)C)C)C)C)C,1000,CC1(C)CC(C)(CN=C=O)CC(N=C=O)C1,O=C1N=C([N])NC(C)=C1CC[O],O=C1N=C(N)NC(C)=C1CCO,[Rn]C1=CC=C(CCC2=CC=C([Rn])C=C2)C=C1,NC1=CC=C(CCC2=CC=C(N)C=C2)C=C1,COC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC2(C)CC(NC(=O)OC)CC(C)(C)C2)C1,CNC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC2(C)CC(NC(=O)Nc3ccc(CCc4ccc(NC(=O)NC5CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC6(C)CC(NC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NC7CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC8(C)CC(NC(=O)Nc9nc(=O)c(CCOC(=O)NC%10CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC%11(C)CC(NC(=O)OC)CC(C)(C)C%11)C%10)c(C)[nH]9)CC(C)(C)C8)C7)CC(C)(C)C6)C5)cc4)cc3)CC(C)(C)C2)C1,0.25,0.5,0.1875 ,0.0625
1.00 ,10.1016/j.polymer.2022.125513,齐新科,,SPU00003,PPG,[Re]C(COC(C)COC(COC(COC(COC(COC(COC(COC(COC(C)COC(C)COC(COC(COC(COC(COC(COC(COC(C[Re])C)C)C)C)C)C)C)C)C)C)C)C)C)C)C,1000,CC1(C)CC(C)(CN=C=O)CC(N=C=O)C1,O=C1N=C([N])NC(C)=C1CC[O],O=C1N=C(N)NC(C)=C1CCO,[Rn]C1=CC=C(CCC2=CC=C([Rn])C=C2)C=C1,NC1=CC=C(CCC2=CC=C(N)C=C2)C=C1,COC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC2(C)CC(NC(=O)OC)CC(C)(C)C2)C1,CNC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC2(C)CC(NC(=O)Nc3ccc(CCc4ccc(NC(=O)NC5CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC6(C)CC(NC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NC7CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC8(C)CC(NC(=O)Nc9nc(=O)c(CCOC(=O)NC%10CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC%11(C)CC(NC(=O)OC)CC(C)(C)C%11)C%10)c(C)[nH]9)CC(C)(C)C8)C7)CC(C)(C)C6)C5)cc4)cc3)CC(C)(C)C2)C1,0.25,0.5,0.1250 ,0.125
1.00 ,10.1016/j.polymer.2022.125513,齐新科,,SPU00004,PPG,[Re]C(COC(C)COC(COC(COC(COC(COC(COC(COC(COC(C)COC(C)COC(COC(COC(COC(COC(COC(COC(C[Re])C)C)C)C)C)C)C)C)C)C)C)C)C)C)C,1000,CC1(C)CC(C)(CN=C=O)CC(N=C=O)C1,O=C1N=C([N])NC(C)=C1CC[O],O=C1N=C(N)NC(C)=C1CCO,[Rn]C1=CC=C(CCC2=CC=C([Rn])C=C2)C=C1,NC1=CC=C(CCC2=CC=C(N)C=C2)C=C1,COC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC2(C)CC(NC(=O)OC)CC(C)(C)C2)C1,CNC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC2(C)CC(NC(=O)Nc3ccc(CCc4ccc(NC(=O)NC5CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC6(C)CC(NC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NC7CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC8(C)CC(NC(=O)Nc9nc(=O)c(CCOC(=O)NC%10CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC%11(C)CC(NC(=O)OC)CC(C)(C)C%11)C%10)c(C)[nH]9)CC(C)(C)C8)C7)CC(C)(C)C6)C5)cc4)cc3)CC(C)(C)C2)C1,0.25,0.5,0.1250 ,0.125
1.00 ,10.1016/j.polymer.2022.125513,齐新科,,SPU00005,PPG,[Re]C(COC(C)COC(COC(COC(COC(COC(COC(COC(COC(C)COC(C)COC(COC(COC(COC(COC(COC(COC(C[Re])C)C)C)C)C)C)C)C)C)C)C)C)C)C)C,1000,CC1(C)CC(C)(CN=C=O)CC(N=C=O)C1,O=C1N=C([N])NC(C)=C1CC[O],O=C1N=C(N)NC(C)=C1CCO,[Rn]C1=CC=C(CCC2=CC=C([Rn])C=C2)C=C1,NC1=CC=C(CCC2=CC=C(N)C=C2)C=C1,COC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC2(C)CC(NC(=O)OC)CC(C)(C)C2)C1,CNC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC2(C)CC(NC(=O)Nc3ccc(CCc4ccc(NC(=O)NC5CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC6(C)CC(NC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NC7CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC8(C)CC(NC(=O)Nc9nc(=O)c(CCOC(=O)NC%10CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC%11(C)CC(NC(=O)OC)CC(C)(C)C%11)C%10)c(C)[nH]9)CC(C)(C)C8)C7)CC(C)(C)C6)C5)cc4)cc3)CC(C)(C)C2)C1,0.25,0.5,0.1250 ,0.125
1.00 ,10.1016/j.polymer.2022.125513,齐新科,,SPU00006,PPG,[Re]C(COC(C)COC(COC(COC(COC(COC(COC(COC(COC(C)COC(C)COC(COC(COC(COC(COC(COC(COC(C[Re])C)C)C)C)C)C)C)C)C)C)C)C)C)C)C,1000,CC1(C)CC(C)(CN=C=O)CC(N=C=O)C1,O=C1N=C([N])NC(C)=C1CC[O],O=C1N=C(N)NC(C)=C1CCO,[Rn]C1=CC=C(CCC2=CC=C([Rn])C=C2)C=C1,NC1=CC=C(CCC2=CC=C(N)C=C2)C=C1,COC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC2(C)CC(NC(=O)OC)CC(C)(C)C2)C1,CNC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC2(C)CC(NC(=O)Nc3ccc(CCc4ccc(NC(=O)NC5CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC6(C)CC(NC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NC7CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC8(C)CC(NC(=O)Nc9nc(=O)c(CCOC(=O)NC%10CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC%11(C)CC(NC(=O)OC)CC(C)(C)C%11)C%10)c(C)[nH]9)CC(C)(C)C8)C7)CC(C)(C)C6)C5)cc4)cc3)CC(C)(C)C2)C1,0.25,0.5,0.1250 ,0.125
1.00 ,10.1016/j.polymer.2022.125513,齐新科,,SPU00007,PPG,[Re]C(COC(C)COC(COC(COC(COC(COC(COC(COC(COC(C)COC(C)COC(COC(COC(COC(COC(COC(COC(C[Re])C)C)C)C)C)C)C)C)C)C)C)C)C)C)C,1000,CC1(C)CC(C)(CN=C=O)CC(N=C=O)C1,O=C1N=C([N])NC(C)=C1CC[O],O=C1N=C(N)NC(C)=C1CCO,[Rn]C1=CC=C(CCC2=CC=C([Rn])C=C2)C=C1,NC1=CC=C(CCC2=CC=C(N)C=C2)C=C1,COC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC2(C)CC(NC(=O)OC)CC(C)(C)C2)C1,CNC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC2(C)CC(NC(=O)Nc3ccc(CCc4ccc(NC(=O)NC5CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC6(C)CC(NC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NC7CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC8(C)CC(NC(=O)Nc9nc(=O)c(CCOC(=O)NC%10CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC%11(C)CC(NC(=O)OC)CC(C)(C)C%11)C%10)c(C)[nH]9)CC(C)(C)C8)C7)CC(C)(C)C6)C5)cc4)cc3)CC(C)(C)C2)C1,0.25,0.5,0.1250 ,0.125
1.00 ,10.1016/j.polymer.2022.125513,齐新科,,SPU00008,PPG,[Re]C(COC(C)COC(COC(COC(COC(COC(COC(COC(COC(C)COC(C)COC(COC(COC(COC(COC(COC(COC(C[Re])C)C)C)C)C)C)C)C)C)C)C)C)C)C)C,1000,CC1(C)CC(C)(CN=C=O)CC(N=C=O)C1,O=C1N=C([N])NC(C)=C1CC[O],O=C1N=C(N)NC(C)=C1CCO,[Rn]C1=CC=C(CCC2=CC=C([Rn])C=C2)C=C1,NC1=CC=C(CCC2=CC=C(N)C=C2)C=C1,COC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC2(C)CC(NC(=O)OC)CC(C)(C)C2)C1,CNC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC2(C)CC(NC(=O)Nc3ccc(CCc4ccc(NC(=O)NC5CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC6(C)CC(NC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NC7CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC8(C)CC(NC(=O)Nc9nc(=O)c(CCOC(=O)NC%10CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC%11(C)CC(NC(=O)OC)CC(C)(C)C%11)C%10)c(C)[nH]9)CC(C)(C)C8)C7)CC(C)(C)C6)C5)cc4)cc3)CC(C)(C)C2)C1,0.25,0.5,0.0625 ,0.1875
1.00 ,10.1016/j.polymer.2022.125513,齐新科,,SPU00009,PPG,[Re]C(COC(C)COC(COC(COC(COC(COC(COC(COC(COC(C)COC(C)COC(COC(COC(COC(COC(COC(COC(C[Re])C)C)C)C)C)C)C)C)C)C)C)C)C)C)C,1000,CC1(C)CC(C)(CN=C=O)CC(N=C=O)C1,[Rn]C1=CC=C(CCC2=CC=C([Rn])C=C2)C=C1,NC1=CC=C(CCC2=CC=C(N)C=C2)C=C1,[Rn]C1=CC=C(CCC2=CC=C([Rn])C=C2)C=C1,NC1=CC=C(CCC2=CC=C(N)C=C2)C=C1,COC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC2(C)CC(NC(=O)OC)CC(C)(C)C2)C1,CNC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC2(C)CC(NC(=O)Nc3ccc(CCc4ccc(NC(=O)NC5CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC6(C)CC(NC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NC7CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC8(C)CC(NC(=O)Nc9ccc(CCc%10ccc(NC(=O)NC%11CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC%12(C)CC(NC(=O)NC)CC(C)(C)C%12)C%11)cc%10)cc9)CC(C)(C)C8)C7)CC(C)(C)C6)C5)cc4)cc3)CC(C)(C)C2)C1,0.25,0.5,0.25,0
1.00 ,10.1016/j.polymer.2022.125513,齐新科,,SPU00010,PPG,[Re]C(COC(C)COC(COC(COC(COC(COC(COC(COC(COC(C)COC(C)COC(COC(COC(COC(COC(COC(COC(C[Re])C)C)C)C)C)C)C)C)C)C)C)C)C)C)C,1000,CC1(C)CC(C)(CN=C=O)CC(N=C=O)C1,O=C1N=C([N])NC(C)=C1CC[O],O=C1N=C(N)NC(C)=C1CCO,[Rn]C1=CC=C(CCC2=CC=C([Rn])C=C2)C=C1,NC1=CC=C(CCC2=CC=C(N)C=C2)C=C1,COC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC2(C)CC(NC(=O)OC)CC(C)(C)C2)C1,CNC(=O)NC1CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC2(C)CC(NC(=O)Nc3ccc(CCc4ccc(NC(=O)NC5CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC6(C)CC(NC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NC7CC(C)(C)CC(C)(CNC(=O)OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(=O)NCC8(C)CC(NC(=O)Nc9nc(=O)c(CCOC(=O)NC%10CC(C)(C)CC(C)(CNC(=O)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OC(=O)NCC%11(C)CC(NC(=O)OC)CC(C)(C)C%11)C%10)c(C)[nH]9)CC(C)(C)C8)C7)CC(C)(C)C6)C5)cc4)cc3)CC(C)(C)C2)C1,0.25,0.5,0.1250 ,0.125
