DOI,Äê·Ý,ID,ÂÛÎÄ,ÆÚ¿¯,Ñô¼«,Òõ¼«,µç½âÒº,ÀíÂÛÈÝÁ¿£¨mAh g-1£©,µçÁ÷ÃÜ¶È(mA g-1),³õÊ¼ÈÝÁ¿(mAh g-1),×î¸ßÈÝÁ¿(mAh g-1),·ÅµçµçÑ¹£¨vs.Mg/Mg2+£©,Ñ­»·È¦Êý,·ÅµçºóÈÝÁ¿(mAh g-1),ÈÝÁ¿±£³ÖÂÊ(%),ÎÂ¶È(¡æ),Ñ­»·È¦Êý,µç×è£¨¦¸£©,µ¥Î»Ãæ»ýÉÏµÄµçÁ÷ÃÜ¶È£¨mA cm-2£©,Ã¾ÍÑÀëÊ±µÄ¹ýµçÎ»(mV),Àë×Óµçµ¼ÂÊ(mS cm-1),µç»¯Ñ§´°¿Ú£¨V),¿âÂ×Ð§ÂÊ£¨%£©,ÌîÐ´ÈË,¸´ºËÈË
10.1021/nl403874y,2014/1/14,MIB0001,Highly Reversible Mg Insertion in Nanostructured Bi for Mg Ion Batteries,Nano Letters,Mg,Bi-NTs,"Mg(BH4)2, LiBH4, and diglyme",,0.05 C,,350,,,,,,,,,,,,,»ÆÑÇ·É,ÐÜÒ°
10.1021/nl403874y,2014/1/14,MIB0002,Highly Reversible Mg Insertion in Nanostructured Bi for Mg Ion Batteries,Nano Letters,Mg,Bi-NTs,"Mg(BH4)2, LiBH4, and diglyme",,5 C,,216,,,,,,,,,,,,,,
10.1021/nl403874y,2014/1/14,MIB0003,Highly Reversible Mg Insertion in Nanostructured Bi for Mg Ion Batteries,Nano Letters,Mg,Bi-Micro,"Mg(BH4)2, LiBH4, and diglyme",,0.05 C,,350,,,,,,,,,,,,,,
10.1021/nl403874y,2014/1/14,MIB0004,Highly Reversible Mg Insertion in Nanostructured Bi for Mg Ion Batteries,Nano Letters,Mg,Bi-Micro,"Mg(BH4)2, LiBH4, and diglyme",,5 C,,51,,,,,,,,,,,,,,
10.1155/2014/107918,2014/1/21,MIB0005,Carbyne Polysulfide as a Novel Cathode Material for Rechargeable Magnesium Batteries,Open Access,Mg,carbyne polysulfide,0.25?mol?L?1 Mg(AlCl2EtBu)2/THF,609.1,3.9,,327.7,,,,,,,,,,,,,»ÆÑÇ·É,ÐÜÒ°
?10.1039/c5ta00118h,2015/2/11,MIB0006,The unexpected discovery of the Mg(HMDS)2/MgCl2 complex as a magnesium electrolyte for rechargeable magnesium batteries,Journal of Materials Chemistry A,Mg ,Mo6S8,2Mg(HDMS)2¨CMgCl2,,,,,,,,,,,,,,,2.3,85,»ÆÑÇ·É,ÐÜÒ°
?10.1039/c5ta00118h,2015/2/11,MIB0007,The unexpected discovery of the Mg(HMDS)2/MgCl2 complex as a magnesium electrolyte for rechargeable magnesium batteries,Journal of Materials Chemistry A,Mg ,Mo6S8,Mg(HDMS)2¨C2MgCl2,,,,,,,,,,,,,,,2.75,95,,
?10.1039/c5ta00118h,2015/2/11,MIB0008,The unexpected discovery of the Mg(HMDS)2/MgCl2 complex as a magnesium electrolyte for rechargeable magnesium batteries,Journal of Materials Chemistry A,Mg ,Mo6S8,0.5M Mg(HDMS)2¨C4MgCl2,,0.1 C,,86,,,,,55,,,,,,2.8,99,,
10.1016/j.jpowsour.2014.11.113,2015/2/15,MIB0009,High concentration magnesium borohydride/tetraglyme electrolyte for rechargeable magnesium batteries,Journal of Power Sources,Mg ,Mo6S8,magnesium borohydride/tetraglyme,122.8,0.05 C,65.9,,,,,,,,,,,9.66,,,ÐÜÒ°,»ÆÑÇ·É
10.1016/j.jpowsour.2014.11.113,2015/2/15,MIB0010,High concentration magnesium borohydride/tetraglyme electrolyte for rechargeable magnesium batteries,Journal of Power Sources,Mg ,Mo6S8,magnesium borohydride/tetraglyme,,0.05 C,76.8,,,107,,92.4,,,,,,,,,,
10.1039/c5cc01225b,2015/3/28,MIB0011,A Lewis acid-free and phenolate-based magnesium electrolyte for rechargeable magnesium batteries,Chemical Communications,Mg ,Mo6S8,0.5 M (DTBP)MgCl¨CMgCl2 THF solution,,0.05 C,,100,,,,,55,,,,,,,,ÐÜÒ°,»ÆÑÇ·É
10.1039/c5cc01225b,2015/3/28,MIB0012,A Lewis acid-free and phenolate-based magnesium electrolyte for rechargeable magnesium batteries,Chemical Communications,Mg ,Mo6S8,0.5 M (DTBP)MgCl¨CMgCl2 THF solution,,0.05 C,,65,,,,,,,,,,,,,,
?10.1016/j.jpowsour.2015.06.127,2015/10/30,MIB0013,Flower-like CoS with nanostructures as a new cathode-active material for rechargeable magnesium batteries,Journal of Power Sources,Mg ,CoS,0.25 mol L?1 Mg(AlCl2EtBu)2/THF,589,50,,,,5,163,76.8,,,,,,,,,ÐÜÒ°,»ÆÑÇ·É
?10.1016/j.jpowsour.2015.06.127,2015/10/30,MIB0014,Flower-like CoS with nanostructures as a new cathode-active material for rechargeable magnesium batteries,Journal of Power Sources,Mg ,CoS,0.25 mol L?1 Mg(AlCl2EtBu)2/THF,,50,,,,10,135.2,92.2,,,,,,,,,,
?10.1016/j.jpowsour.2015.06.127,2015/10/30,MIB0015,Flower-like CoS with nanostructures as a new cathode-active material for rechargeable magnesium batteries,Journal of Power Sources,Mg ,CoS,0.25 mol L?1 Mg(AlCl2EtBu)2/THF,,50,,,,40,125.2,96.3,,,,,,,,,,
?10.1016/j.jpowsour.2015.06.127,2015/10/30,MIB0016,Flower-like CoS with nanostructures as a new cathode-active material for rechargeable magnesium batteries,Journal of Power Sources,Mg ,CoS,0.25 mol L?1 Mg(AlCl2EtBu)2/THF,,50,,,,60,112,94.5,,,,,,,,,,
?10.1039/c6cp00448b,2016/5/19,MIB0017,Anti-site mixing governs the electrochemical performances of olivine-type MgMnSiO4 cathodes for rechargeable magnesium batteries,Physical Chemistry Chemical Physics,Mg ,MgMnSiO4,0.5 M magnesium (trifluoromethanesulfonyl) amide (Mg(TFSA)2) in acetonitrile,,C/20,111,,2.9,,,,55,,,,,,,,ÐÜÒ°,»ÆÑÇ·É
10.1039/c6ee00724d,2016/5/26,MIB0018,A high capacity thiospinel cathode for Mg batteries,"Energy &
Environmental
Science",Mg ,TI2S4,APC in THF or G4,,1/20C,200,200,,,,,,,,,,,,,ÐÜÒ°,»ÆÑÇ·É
10.1039/c6ee00724d,2016/5/26,MIB0019,A high capacity thiospinel cathode for Mg batteries,"Energy &
Environmental
Science",Mg ,TI2S4,APC in THF or G4,,C/10,,195,,,,,,,,,,,,,,
10.1039/c6ee00724d,2016/5/26,MIB0020,A high capacity thiospinel cathode for Mg batteries,"Energy &
Environmental
Science",Mg ,TI2S4,APC in THF or G4,,C/5,,190,,,,,,,,,,,,,,
10.1039/c6ee00724d,2016/5/26,MIB0021,A high capacity thiospinel cathode for Mg batteries,"Energy &
Environmental
Science",Mg ,TI2S4,APC in THF or G4,,C/20,,195,,,,,,,,,,,,,,
10.1039/c6ee00724d,2016/5/26,MIB0022,A high capacity thiospinel cathode for Mg batteries,"Energy &
Environmental
Science",Mg ,TI2S4,APC in THF or G4,,C/5,,175,,,,,,,,,,,,,,
10.1039/c6ee00724d,2016/5/26,MIB0023,A high capacity thiospinel cathode for Mg batteries,"Energy &
Environmental
Science",Mg ,TI2S4,APC in THF or G4,,C/10,,,,40,140,,,,,,,,,,,
?10.1002/adfm.201601448,2016/5/30,MIB0024,Toward a Magnesium-Iodine Battery,ADVANCED FUNCTIONAL MATERIALS,Mg ,I?/I3? ,iodoaluminate ionic liquid,,,,,,,,,,,,0.5,50,,,,ÐÜÒ°,»ÆÑÇ·É
10.1021/acsenergylett.6b00145,2016/6/23,MIB0025,Layered TiS2 Positive Electrode for Mg Batteries,ACS Energy,Mg ,TiS2,APC in THF,,1/20C,,270,,,,,60,,,,,,,,ÐÜÒ°,»ÆÑÇ·É
10.1021/acsenergylett.6b00145,2016/6/23,MIB0026,Layered TiS2 Positive Electrode for Mg Batteries,ACS Energy,Mg ,TiS2,APC in THF,, C/10,,250,,,,,,,,,,,,,,
10.1021/acsenergylett.6b00145,2016/6/23,MIB0027,Layered TiS2 Positive Electrode for Mg Batteries,ACS Energy,Mg ,TiS2,APC in THF,, C/5,,140,,,,,,,,,,,,,,
?10.1016/j.jpowsour.2016.05.034,2016/8/15,MIB0028,Selenium and selenium-sulfur cathode materials for high-energy rechargeable magnesium batteries,Journal of Power Sources,Mg ,Se,a mixture of tetraglyme and diglyme in a volumetric ratio of 1:1 as solvents,,0.2 c,,,1.4,,,,,,,,,,,,ÐÜÒ°,»ÆÑÇ·É
?10.1016/j.jpowsour.2016.05.034,2016/8/15,MIB0029,Selenium and selenium-sulfur cathode materials for high-energy rechargeable magnesium batteries,Journal of Power Sources,Mg ,Se,a mixture of tetraglyme and diglyme in a volumetric ratio of 1:1 as solvents,,3C,,320,,,,,,,,,,,,,,
?10.1016/j.jpowsour.2016.05.034,2016/8/15,MIB0030,Selenium and selenium-sulfur cathode materials for high-energy rechargeable magnesium batteries,Journal of Power Sources,Mg ,Se,a mixture of tetraglyme and diglyme in a volumetric ratio of 1:1 as solvents,,,,,,,,,,,,,,,,,,
?10.1016/j.jpowsour.2016.05.034,2016/8/15,MIB0031,Selenium and selenium-sulfur cathode materials for high-energy rechargeable magnesium batteries,Journal of Power Sources,Mg ,SeS2,a mixture of tetraglyme and diglyme in a volumetric ratio of 1:1 as solvents,,40,,650,,,,,,,,,,,,,,
10.1016/j.electacta.2016.05.202,2016/8/20,MIB0032,Copper Selenide as a New Cathode Material based on Displacement Reaction for Rechargeable Magnesium Batteries,Electrochimica Acta,Mg,¦Â-Cu2Se,the Mg(AlCl2EtBu)2 electrolyte,260,5,,150,0.95,,,,,,,,,,,,»ÆÑÇ·É,ÐÜÒ°
