ID,Name,Mg,Ni,Cu,Ce,La,Nd,Pr,Sm,Y,Ag,Al,Ca,Co,Fe,In,Li,Mn,Nb,Ti,V,Zn,Cr,Pd,Si,Zr,Gd,B,C,密(XM),δ密(XM),族Gp,δ族Gp,I2(ev),δI2(ev),原径(Rm),δ原径(Rm),共径(Rc),δ共径(Rc,自能(W),δ自能(W),晶体(LP),δ晶体(LP),功函数,δ功函数,绝对电负性,δ绝对电负性,AW,δAW,AN,δAN,Tb,δTb,Eea(ev),δEea(ev),I1,δI1,XP,δXP,Hf,δHf,Cm,δCm,VEC,fs,fp,fd,δVEC,K,δK,Tm,δTm,Vm,B,熔化焓Sf,密度,混合焓Hmix,吉布斯自由能Gmix,oumiga的倒数,熵Smix,加工方式,球磨机H2压力（MPa）,球磨机Ar2压力（MPa）,球粉质量比,球磨机转速(圆盘转速)（rpm）,磨粉时间（h）,℃/min差示扫描量热法 (DSC) 和热重法 (TG) 加热速率,氩气MPa,烧结温度℃,烧结时间h,m/s熔体纺丝速率（铜辊线速度近似表示）,样品的加热速率,吸氢饱和比（Ra(t))t min%,脱氢比（R d ( t )）%,温度C?a?(t)（t的氢化能力）氢容量,C?d?(t)（t的氢化能力）氢解吸容量,吸氢速率,初始吸氢温度℃,氢吸收温度,氢吸收压力,氢吸收时间min,吸H量,储氢量,可逆储氢能力wt%,氢解吸效率,解吸动力学温度,解吸动力学H2压力(MPa),解吸动力学H2压力时间min,解吸H2含量,脱氢量,开始解吸温度℃,峰值解吸温度（从第70个挪动）℃,最终脱氢温度℃,完全脱氢时间,吸氢活化能E?ae(k)kJ/mol,氢解吸过程的活化能 (E de(a)),脱氢活化能E?de(k),焓变ΔH （形成焓）?(kJ/mol)（吸氢,熵变ΔS J/mol/K)（吸氢,焓变ΔH (kJ/mol)（分解焓）氢解吸,熵变ΔS J/mol/K)（氢解吸,吸收PCT平衡压力MPa,解吸PCT平衡压力MPa,活化温度℃,H2活化压力MPa,活化循环次数
MHS0001,MgAlTiFeNi,0.113738465,0.274661663,,,,,,,,,0.126265841,,,0.26133407,,,,,0.223999963,,,,,,,,,,1.599998916,0.101627568,7.400015551,0.537831025,16.35923395,0.118862728,0.139640033,0.098295248,0.135599966,0.103518453,4.349998364,0.116956806,58.97612075,1.261722081,4.383998601,0.108827198,3.777997284,0.110733087,42.73831253,0.337570046,20.19996482,0.325982322,2806.999432,0.271450837,0.288399329,1.778976047,7.200395257,0.098230434,1.63999953,0.130436274,13.81998475,0.273030179,25.05979569,0.023927982,5.399985547,0.370371362,0.037037692,0.592590947,0.568974422,123.6004243,0.627793513,1467.411824,0.30352448,0.01173545,116.199776,0.009417932,4426443.828,-14.24005032,-19649.48221,0.000725229,13.3808668,反应性研磨,3,,40,600,24,,,,,,,,,,,,,325,1.5,60,,0.94,,,,,,,,286,326,,,,,,,,,,,,,,
MHS0002,Mg98Ni1.67La0.33,0.943043553,0.038807246,,,0.018149201,,,,,,,,,,,,,,,,,,,,,,,,1.671349983,0.016690573,2.136899105,0.480288996,15.07469951,0.030729323,0.159598894,0.030274003,0.140933902,0.03108836,3.684024833,0.052015949,201.3236782,0.124367123,3.684354833,0.051901713,3.758709927,0.024346134,25.25747897,0.312213448,12.41569823,0.26450644,1401.278097,0.192327272,-0.370978174,0.555521482,7.6390721,0.015532706,1.319326933,0.059055416,8.833699048,0.12448797,24.89645187,0.008023949,2.136899105,0.935935625,0,0.064064375,0.480288996,187.762611,0.086215916,937.48441,0.111145442,0.017069487,47.19838489,0.009422769,1818532.175,-0.358358136,-834.3117133,0.00042971,0.889565038,铸态,,,,300,10,5,,,,,,,,,,,,325,2.5,135,6.75,,,,325,0.1,,,,,,,,,,,,,,,,,300,3/0.1,3
MHS0003,Mg98Ni1.33La0.67,0.932969073,0.030576199,,,0.036454728,,,,,,,,,,,,,,,,,,,,,,,,1.669649986,0.020042848,2.113099285,0.435045694,15.05052585,0.03229782,0.159814113,0.029253997,0.141216102,0.040668246,3.678074867,0.046818373,201.7922108,0.112210034,3.678744867,0.046567644,3.754289941,0.024458292,25.53021621,0.396029576,12.5142986,0.32662754,1403.151538,0.202014951,-0.373222139,0.515920288,7.632057899,0.02211481,1.316572946,0.053923793,8.796299238,0.113315237,24.89998789,0.009146718,2.113099285,0.946477061,0,0.053522939,0.435045694,187.4974087,0.097470663,935.6654282,0.101111908,0.017136406,46.68158792,0.009401116,1830992.136,-0.402014466,-862.2665022,0.000466447,0.921124648,铸态,,,,,,,,,,,,,,,,,,325,2.5,,,6.72,,,325,0.1,,,,,,,,,,,,,,,,,,,
MHS0004,Mg98Ni2,0.953031998,0.046968002,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67299998,0.01255226,2.159998931,0.518517079,15.09816218,0.029052328,0.159390005,0.031181276,0.140660002,0.016920178,3.689799801,0.056534048,200.8689259,0.135180746,3.689799801,0.056534048,3.762999913,0.024182754,24.99276341,0.192630169,12.31999786,0.181817619,1399.459756,0.182369778,-0.368800208,0.592188618,7.645880001,0.000109863,1.32199992,0.063539887,8.869998865,0.134159668,24.89301984,0.006754482,2.159998931,0.925926384,0,0.074073616,0.518517079,188.0200132,0.073715316,939.2498925,0.119988974,0.017004537,47.69998197,0.009443705,1806344.913,-0.313597948,-765.8894845,0.000409624,0.815092866,铸态,,,,,,,,,,,,,,,,,,325,2.5,,,6.36,,,325,0.1,,,,,,,,,,,,,,,,,,,
MHS0005,Mg98Ni2,0.953031998,0.046968002,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67299998,0.01255226,2.159998931,0.518517079,15.09816218,0.029052328,0.159390005,0.031181276,0.140660002,0.016920178,3.689799801,0.056534048,200.8689259,0.135180746,3.689799801,0.056534048,3.762999913,0.024182754,24.99276341,0.192630169,12.31999786,0.181817619,1399.459756,0.182369778,-0.368800208,0.592188618,7.645880001,0.000109863,1.32199992,0.063539887,8.869998865,0.134159668,24.89301984,0.006754482,2.159998931,0.925926384,0,0.074073616,0.518517079,188.0200132,0.073715316,939.2498925,0.119988974,0.017004537,47.69998197,0.009443705,1806344.913,-0.313597948,-765.8894845,0.000409624,0.815092866,铸态,,,,,,,,,,,,,,,,,,300,3,150,6.36,,,,300,0.1,,,,,,,5.5,,,,,,,,,,,,
MHS0006,Mg98Ni1.67La0.33,0.943043553,0.038807246,,,0.018149201,,,,,,,,,,,,,,,,,,,,,,,,1.671349983,0.016690573,2.136899105,0.480288996,15.07469951,0.030729323,0.159598894,0.030274003,0.140933902,0.03108836,3.684024833,0.052015949,201.3236782,0.124367123,3.684354833,0.051901713,3.758709927,0.024346134,25.25747897,0.312213448,12.41569823,0.26450644,1401.278097,0.192327272,-0.370978174,0.555521482,7.6390721,0.015532706,1.319326933,0.059055416,8.833699048,0.12448797,24.89645187,0.008023949,2.136899105,0.935935625,0,0.064064375,0.480288996,187.762611,0.086215916,937.48441,0.111145442,0.017069487,47.19838489,0.009422769,1818532.175,-0.358358136,-834.3117133,0.00042971,0.889565038,铸态,,,,,,,,,,,,,,,,,,300,3,150,7.04,,,,300,0.1,,,,,,,6,,,,?81.2,,82.9,,,,,,
MHS0007,Mg98Ni1.33La0.67,0.932969073,0.030576199,,,0.036454728,,,,,,,,,,,,,,,,,,,,,,,,1.669649986,0.020042848,2.113099285,0.435045694,15.05052585,0.03229782,0.159814113,0.029253997,0.141216102,0.040668246,3.678074867,0.046818373,201.7922108,0.112210034,3.678744867,0.046567644,3.754289941,0.024458292,25.53021621,0.396029576,12.5142986,0.32662754,1403.151538,0.202014951,-0.373222139,0.515920288,7.632057899,0.02211481,1.316572946,0.053923793,8.796299238,0.113315237,24.89998789,0.009146718,2.113099285,0.946477061,0,0.053522939,0.435045694,187.4974087,0.097470663,935.6654282,0.101111908,0.017136406,46.68158792,0.009401116,1830992.136,-0.402014466,-862.2665022,0.000466447,0.921124648,铸态,,,,,,,,,,,,,,,,,,300,3,150,6.84,,,,300,0.1,,,,,,,5,,,,?81.2,,82.9,,,,,,
MHS0008,Mg98Ni1La1,0.923394636,0.022753696,,,0.053851668,,,,,,,,,,,,,,,,,,,,,,,,1.66799999,0.022797534,2.089999461,0.383341719,15.02706319,0.03368611,0.160023002,0.028172906,0.141490001,0.048044279,3.672299899,0.041050569,202.246963,0.099068805,3.673299899,0.040635054,3.749999956,0.024512994,25.79493176,0.460252519,12.60999895,0.375643529,1404.969879,0.210938239,-0.375400105,0.475257062,7.625249999,0.026996852,1.313899959,0.04829053,8.759999425,0.100909323,24.90341992,0.010115586,2.089999461,0.956938046,0,0.043061954,0.383341719,187.2400066,0.107305241,933.8999459,0.090185014,0.017201357,46.17999088,0.009380019,1842992.93,-0.441998918,-869.2968923,0.000508714,0.930351155,铸态,,,,,,,,,,,,,,,,,,300,3,150,6.39,,,,300,0.1,,,,,,,6,,,,?81.2,,82.9,,,,,,
MHS0009,Mg35Ti65,0.214706855,,,,,,,,,,,,,,,,,,0.785293145,,,,,,,,,,1.5335,0.065316998,3.3,0.289072485,14.0862855,0.0494476,0.151065,0.043887581,0.15335,0.059096331,3.946,0.053184649,105.0172,0.696861083,4.0955,0.078029455,3.555,0.040250599,39.6203,0.283651505,18.5,0.257821406,2791.05,0.375450892,-0.08865,2.57719615,7.1143,0.054841816,1.4595,0.075164788,15.2,0.31379579,24.99315,0.003645046,3.3,0.606060606,0,0.393939394,0.289072485,80.8,0.991718972,1584.85,0.306372877,0.014521901,87.25,0.009590813,3358207.5,14.56,-8516.48367,0.001706708,5.382871357,研磨,,,10,,20,,,,,,,,,,,,,300,8,116.7,1.88,,,,,,,,,,,,,,,,,,,,,,,,
MHS0010,Mg25Ni9Cu,0.506604091,0.440414771,0.052981137,,,,,,,,,,,,,,,,,,,,,,,,,,1.713714099,0.040430014,4.31427575,0.848975506,15.99135161,0.096879216,0.150048616,0.105972082,0.13637145,0.054483459,4.072855255,0.161252916,149.3633571,0.586296737,4.071426681,0.160987093,3.93799919,0.075553703,34.26886005,0.460286687,16.59998002,0.43825335,1873.826272,0.432083024,0.047626622,14.86235042,7.64677144,0.001831396,1.481142106,0.182700234,11.01141773,0.337227252,25.16556984,0.021332643,4.31427575,0.456954686,0,0.543045314,0.848975506,170.5429965,0.341989131,1142.566688,0.308057746,0.014608877,82.42840044,0.00963744,2883254.714,-3.066113969,-6568.499984,0.000467009,5.746215025,铸态,,,,,,,,,,,5 K/min,,,,,,,300,3,,,4.12,,,,,,,,,,,,,,,,,,,,,300,3,6
